Sentence,Tags
"['fake_date_41', 'was', 'born', 'near', 'fake_prod_17']","['I-DATE', 'O', 'O', 'O', 'B-PROD']"
"['fake_date_1', 'fake_misc_44', 'around', 'tokyo']","['I-DATE', 'B-MISC', 'O', 'B-LOC']"
"['fake_per_81', 'fake_misc_95', 'from', 'london']","['B-PER', 'B-MISC', 'O', 'B-LOC']"
"['fake_per_56', 'studies', 'from', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['sarah', 'was', 'born', 'near', 'fake_per_26']","['B-PER', 'O', 'O', 'O', 'B-PER']"
"['word_98', 'fake_loc_95', 'fake_loc_15', 'moscow']","['O', 'B-LOC', 'I-LOC', 'B-LOC']"
"['charlie', 'fake_misc_67', 'fake_org_37', 'fake_date_58']","['B-PER', 'I-MISC', 'B-ORG', 'B-DATE']"
"['david', 'fake_date_49', 'from', 'fake_misc_41']","['B-PER', 'I-DATE', 'O', 'B-MISC']"
"['jhon', 'studies', 'fake_per_64', 'fake_per_99']","['B-PER', 'O', 'I-PER', 'B-PER']"
"['jhon', 'studies', 'near', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'lives', 'fake_prod_19', 'berlin']","['B-PER', 'O', 'B-PROD', 'B-LOC']"
"['charlie', 'lives', 'in', 'fake_date_46']","['B-PER', 'O', 'O', 'I-DATE']"
"['emma', 'fake_per_30', 'to', 'word_20', 'york']","['B-PER', 'I-PER', 'O', 'O', 'I-LOC']"
"['alice', 'fake_loc_44', 'to', 'fake_per_53']","['B-PER', 'B-LOC', 'O', 'B-PER']"
"['mary', 'studies', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_3', 'word_39', 'fake_loc_11', 'rome']","['B-DATE', 'O', 'I-LOC', 'B-LOC']"
"['fake_per_82', 'fake_loc_86', 'to', 'canada']","['I-PER', 'I-LOC', 'O', 'B-LOC']"
"['jhon', 'studies', 'to', 'fake_org_12']","['B-PER', 'O', 'O', 'I-ORG']"
"['emma', 'fake_per_97', 'to', 'canada']","['B-PER', 'I-PER', 'O', 'B-LOC']"
"['fake_org_22', 'lives', 'fake_date_72', 'fake_loc_85']","['B-ORG', 'O', 'I-DATE', 'B-LOC']"
"['jhon', 'moved', 'fake_date_69', 'london']","['B-PER', 'O', 'B-DATE', 'B-LOC']"
"['fake_misc_36', 'fake_date_72', 'around', 'fake_per_10']","['B-MISC', 'B-DATE', 'O', 'I-PER']"
"['emma', 'word_77', 'near', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_46', 'works', 'fake_prod_73', 'london']","['I-MISC', 'O', 'B-PROD', 'B-LOC']"
"['fake_org_91', 'fake_prod_62', 'from', 'fake_org_36']","['I-ORG', 'I-PROD', 'O', 'I-ORG']"
"['bob', 'was', 'born', 'fake_misc_27', 'fake_misc_98', 'york']","['B-PER', 'O', 'O', 'B-MISC', 'B-MISC', 'I-LOC']"
"['alice', 'fake_date_60', 'near', 'rome']","['B-PER', 'I-DATE', 'O', 'B-LOC']"
"['fake_per_93', 'moved', 'in', 'fake_prod_84', 'fake_org_39']","['I-PER', 'O', 'O', 'B-PROD', 'B-ORG']"
"['charlie', 'travels', 'fake_per_62', 'word_31']","['B-PER', 'O', 'I-PER', 'O']"
"['alice', 'lives', 'fake_org_29', 'rome']","['B-PER', 'O', 'I-ORG', 'B-LOC']"
"['fake_org_26', 'fake_per_10', 'fake_prod_94', 'berlin']","['I-ORG', 'I-PER', 'I-PROD', 'B-LOC']"
"['fake_misc_64', 'fake_loc_8', 'fake_misc_7', 'fake_org_68', 'fake_prod_50']","['B-MISC', 'B-LOC', 'I-MISC', 'B-ORG', 'B-PROD']"
"['fake_per_18', 'fake_org_90', 'around', 'fake_date_57', 'word_92']","['B-PER', 'B-ORG', 'O', 'I-DATE', 'O']"
"['fake_per_62', 'fake_per_54', 'fake_prod_60', 'rome']","['I-PER', 'I-PER', 'B-PROD', 'B-LOC']"
"['david', 'fake_misc_38', 'near', 'fake_per_95']","['B-PER', 'I-MISC', 'O', 'I-PER']"
"['david', 'moved', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'works', 'fake_misc_65', 'fake_per_1']","['B-PER', 'O', 'I-MISC', 'B-PER']"
"['david', 'moved', 'fake_per_65', 'berlin']","['B-PER', 'O', 'B-PER', 'B-LOC']"
"['michael', 'lives', 'around', 'fake_prod_91']","['B-PER', 'O', 'O', 'I-PROD']"
"['fake_org_70', 'fake_misc_98', 'to', 'berlin']","['I-ORG', 'I-MISC', 'O', 'B-LOC']"
"['fake_date_21', 'moved', 'in', 'fake_date_41']","['B-DATE', 'O', 'O', 'B-DATE']"
"['charlie', 'studies', 'fake_prod_71', 'london']","['B-PER', 'O', 'I-PROD', 'B-LOC']"
"['sarah', 'works', 'around', 'fake_org_60']","['B-PER', 'O', 'O', 'I-ORG']"
"['fake_org_2', 'fake_org_5', 'fake_org_86', 'paris']","['B-ORG', 'I-ORG', 'B-ORG', 'B-LOC']"
"['michael', 'studies', 'around', 'fake_per_99']","['B-PER', 'O', 'O', 'B-PER']"
"['michael', 'works', 'word_18', 'fake_per_96']","['B-PER', 'O', 'O', 'I-PER']"
"['sarah', 'travels', 'fake_org_8', 'fake_per_68']","['B-PER', 'O', 'I-ORG', 'B-PER']"
"['fake_prod_24', 'moved', 'fake_loc_76', 'fake_date_75']","['I-PROD', 'O', 'I-LOC', 'B-DATE']"
"['linda', 'works', 'fake_misc_86', 'fake_loc_61']","['B-PER', 'O', 'I-MISC', 'I-LOC']"
"['alice', 'lives', 'fake_date_51', 'madrid']","['B-PER', 'O', 'I-DATE', 'B-LOC']"
"['fake_org_66', 'fake_prod_61', 'fake_loc_20', 'fake_loc_81']","['I-ORG', 'I-PROD', 'B-LOC', 'B-LOC']"
"['david', 'works', 'around', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_30', 'fake_per_62', 'fake_misc_62', 'new', 'word_45']","['B-PROD', 'I-PER', 'B-MISC', 'B-LOC', 'O']"
"['david', 'fake_date_44', 'fake_per_100', 'paris']","['B-PER', 'B-DATE', 'B-PER', 'B-LOC']"
"['fake_loc_56', 'fake_loc_9', 'fake_misc_57', 'paris']","['I-LOC', 'B-LOC', 'I-MISC', 'B-LOC']"
"['emma', 'travels', 'near', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'fake_misc_87', 'fake_date_23', 'fake_per_38']","['B-PER', 'I-MISC', 'B-DATE', 'B-PER']"
"['mary', 'lives', 'from', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_25', 'fake_per_14', 'in', 'beijing']","['B-PROD', 'I-PER', 'O', 'B-LOC']"
"['mary', 'fake_misc_4', 'to', 'beijing']","['B-PER', 'B-MISC', 'O', 'B-LOC']"
"['word_31', 'fake_prod_6', 'around', 'fake_org_21', 'york']","['O', 'B-PROD', 'O', 'I-ORG', 'I-LOC']"
"['jhon', 'works', 'to', 'fake_prod_11']","['B-PER', 'O', 'O', 'I-PROD']"
"['jhon', 'fake_misc_56', 'near', 'new', 'fake_loc_77']","['B-PER', 'I-MISC', 'O', 'B-LOC', 'B-LOC']"
"['sarah', 'was', 'born', 'in', 'berlin']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_per_82', 'studies', 'to', 'fake_misc_90']","['I-PER', 'O', 'O', 'I-MISC']"
"['linda', 'fake_org_4', 'fake_org_87', 'fake_misc_4', 'fake_prod_44']","['B-PER', 'B-ORG', 'I-ORG', 'I-MISC', 'B-PROD']"
"['fake_loc_70', 'studies', 'from', 'fake_per_86']","['I-LOC', 'O', 'O', 'I-PER']"
"['sarah', 'fake_date_63', 'in', 'fake_loc_44']","['B-PER', 'B-DATE', 'O', 'I-LOC']"
"['charlie', 'was', 'born', 'in', 'fake_misc_36']","['B-PER', 'O', 'O', 'O', 'I-MISC']"
"['charlie', 'was', 'born', 'in', 'london']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['charlie', 'fake_prod_70', 'fake_misc_65', 'canada']","['B-PER', 'I-PROD', 'I-MISC', 'B-LOC']"
"['michael', 'fake_date_78', 'fake_per_26', 'moscow']","['B-PER', 'I-DATE', 'B-PER', 'B-LOC']"
"['bob', 'works', 'to', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['linda', 'works', 'from', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['mary', 'fake_loc_71', 'fake_misc_73', 'berlin']","['B-PER', 'I-LOC', 'B-MISC', 'B-LOC']"
"['emma', 'fake_prod_86', 'from', 'fake_misc_3']","['B-PER', 'B-PROD', 'O', 'B-MISC']"
"['jhon', 'lives', 'fake_loc_39', 'fake_per_80']","['B-PER', 'O', 'B-LOC', 'I-PER']"
"['bob', 'fake_prod_8', 'fake_loc_80', 'beijing']","['B-PER', 'I-PROD', 'B-LOC', 'B-LOC']"
"['mary', 'fake_date_26', 'fake_misc_40', 'fake_org_93', 'fake_date_89']","['B-PER', 'B-DATE', 'I-MISC', 'I-ORG', 'B-DATE']"
"['fake_misc_93', 'fake_prod_90', 'near', 'fake_loc_71']","['I-MISC', 'B-PROD', 'O', 'B-LOC']"
"['charlie', 'travels', 'around', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'fake_org_93', 'around', 'fake_per_99']","['B-PER', 'I-ORG', 'O', 'B-PER']"
"['jhon', 'was', 'born', 'near', 'new', 'york']","['B-PER', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
"['fake_loc_26', 'fake_loc_10', 'fake_misc_36', 'fake_misc_74']","['B-LOC', 'I-LOC', 'B-MISC', 'I-MISC']"
"['fake_org_7', 'lives', 'to', 'fake_prod_38']","['B-ORG', 'O', 'O', 'I-PROD']"
"['linda', 'word_76', 'fake_prod_76', 'fake_prod_87']","['B-PER', 'O', 'B-PROD', 'I-PROD']"
"['alice', 'moved', 'in', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_66', 'word_12', 'to', 'fake_loc_62']","['B-DATE', 'O', 'O', 'I-LOC']"
"['fake_loc_38', 'fake_per_2', 'near', 'word_67']","['I-LOC', 'B-PER', 'O', 'O']"
"['linda', 'fake_prod_98', 'fake_misc_60', 'fake_loc_77']","['B-PER', 'I-PROD', 'I-MISC', 'B-LOC']"
"['fake_misc_68', 'travels', 'to', 'fake_loc_62']","['I-MISC', 'O', 'O', 'B-LOC']"
"['alice', 'fake_org_53', 'in', 'canada']","['B-PER', 'I-ORG', 'O', 'B-LOC']"
"['david', 'travels', 'word_84', 'fake_loc_55', 'fake_per_70']","['B-PER', 'O', 'O', 'B-LOC', 'B-PER']"
"['fake_loc_68', 'fake_per_59', 'around', 'moscow']","['I-LOC', 'I-PER', 'O', 'B-LOC']"
"['bob', 'fake_loc_17', 'fake_date_12', 'moscow']","['B-PER', 'B-LOC', 'B-DATE', 'B-LOC']"
"['fake_date_75', 'fake_date_35', 'to', 'beijing']","['I-DATE', 'B-DATE', 'O', 'B-LOC']"
"['david', 'fake_date_44', 'fake_misc_3', 'tokyo']","['B-PER', 'B-DATE', 'B-MISC', 'B-LOC']"
"['fake_prod_51', 'fake_loc_41', 'to', 'word_76']","['I-PROD', 'B-LOC', 'O', 'O']"
"['word_64', 'travels', 'fake_misc_68', 'fake_date_22']","['O', 'O', 'B-MISC', 'I-DATE']"
"['alice', 'travels', 'from', 'fake_org_38']","['B-PER', 'O', 'O', 'I-ORG']"
"['fake_per_78', 'fake_date_10', 'from', 'beijing']","['I-PER', 'I-DATE', 'O', 'B-LOC']"
"['emma', 'works', 'to', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['david', 'lives', 'fake_misc_95', 'fake_prod_50']","['B-PER', 'O', 'B-MISC', 'I-PROD']"
"['michael', 'was', 'born', 'from', 'fake_org_44']","['B-PER', 'O', 'O', 'O', 'B-ORG']"
"['fake_loc_21', 'fake_misc_59', 'to', 'new', 'york']","['I-LOC', 'I-MISC', 'O', 'B-LOC', 'I-LOC']"
"['linda', 'works', 'fake_misc_16', 'fake_date_12']","['B-PER', 'O', 'B-MISC', 'B-DATE']"
"['david', 'was', 'born', 'in', 'beijing']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['linda', 'works', 'around', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'works', 'near', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_60', 'fake_prod_17', 'fake_loc_28', 'fake_per_98']","['I-DATE', 'B-PROD', 'I-LOC', 'I-PER']"
"['linda', 'fake_prod_9', 'fake_loc_50', 'fake_org_33']","['B-PER', 'B-PROD', 'I-LOC', 'B-ORG']"
"['alice', 'studies', 'near', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_63', 'was', 'born', 'fake_date_1', 'new', 'york']","['B-MISC', 'O', 'O', 'I-DATE', 'B-LOC', 'I-LOC']"
"['alice', 'works', 'around', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_17', 'fake_date_90', 'from', 'rome']","['I-DATE', 'I-DATE', 'O', 'B-LOC']"
"['jhon', 'lives', 'in', 'fake_per_60']","['B-PER', 'O', 'O', 'I-PER']"
"['charlie', 'travels', 'fake_loc_31', 'beijing']","['B-PER', 'O', 'I-LOC', 'B-LOC']"
"['linda', 'fake_org_60', 'around', 'rome']","['B-PER', 'B-ORG', 'O', 'B-LOC']"
"['fake_misc_59', 'works', 'from', 'fake_per_44']","['I-MISC', 'O', 'O', 'B-PER']"
"['fake_per_94', 'travels', 'from', 'madrid']","['I-PER', 'O', 'O', 'B-LOC']"
"['word_71', 'word_78', 'to', 'fake_misc_51', 'fake_org_5']","['O', 'O', 'O', 'I-MISC', 'I-ORG']"
"['word_65', 'moved', 'fake_misc_95', 'fake_prod_48']","['O', 'O', 'I-MISC', 'B-PROD']"
"['fake_per_58', 'was', 'born', 'fake_per_69', 'fake_date_67']","['B-PER', 'O', 'O', 'B-PER', 'I-DATE']"
"['mary', 'fake_per_94', 'fake_misc_62', 'fake_prod_67']","['B-PER', 'B-PER', 'B-MISC', 'B-PROD']"
"['fake_misc_82', 'fake_loc_11', 'fake_date_72', 'fake_date_50', 'fake_per_94']","['B-MISC', 'B-LOC', 'B-DATE', 'B-DATE', 'B-PER']"
"['fake_loc_29', 'fake_loc_37', 'fake_date_9', 'new', 'fake_prod_23']","['B-LOC', 'B-LOC', 'B-DATE', 'B-LOC', 'I-PROD']"
"['michael', 'travels', 'fake_date_81', 'fake_per_90']","['B-PER', 'O', 'I-DATE', 'B-PER']"
"['linda', 'lives', 'to', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'fake_org_64', 'to', 'tokyo']","['B-PER', 'B-ORG', 'O', 'B-LOC']"
"['emma', 'fake_date_46', 'near', 'fake_loc_62']","['B-PER', 'B-DATE', 'O', 'B-LOC']"
"['michael', 'word_31', 'fake_date_95', 'paris']","['B-PER', 'O', 'B-DATE', 'B-LOC']"
"['fake_misc_23', 'fake_date_44', 'to', 'fake_org_72']","['B-MISC', 'I-DATE', 'O', 'B-ORG']"
"['alice', 'travels', 'word_79', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'works', 'word_63', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'travels', 'to', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_per_72', 'travels', 'from', 'fake_date_75']","['I-PER', 'O', 'O', 'B-DATE']"
"['fake_loc_96', 'word_25', 'from', 'fake_misc_40']","['B-LOC', 'O', 'O', 'B-MISC']"
"['bob', 'moved', 'from', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_67', 'fake_org_42', 'fake_prod_85', 'moscow']","['I-MISC', 'B-ORG', 'B-PROD', 'B-LOC']"
"['fake_per_90', 'fake_prod_80', 'fake_date_18', 'fake_per_34']","['I-PER', 'I-PROD', 'B-DATE', 'I-PER']"
"['fake_misc_3', 'lives', 'fake_misc_6', 'fake_misc_73']","['B-MISC', 'O', 'B-MISC', 'B-MISC']"
"['fake_prod_48', 'studies', 'near', 'moscow']","['B-PROD', 'O', 'O', 'B-LOC']"
"['emma', 'lives', 'in', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['linda', 'travels', 'near', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'moved', 'around', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['fake_date_29', 'fake_org_17', 'fake_prod_52', 'moscow']","['B-DATE', 'I-ORG', 'B-PROD', 'B-LOC']"
"['fake_loc_9', 'fake_org_94', 'from', 'fake_prod_61']","['I-LOC', 'I-ORG', 'O', 'I-PROD']"
"['fake_org_7', 'lives', 'fake_per_25', 'paris']","['I-ORG', 'O', 'I-PER', 'B-LOC']"
"['michael', 'fake_per_19', 'fake_org_12', 'fake_misc_94']","['B-PER', 'B-PER', 'B-ORG', 'I-MISC']"
"['word_54', 'was', 'born', 'word_3', 'beijing']","['O', 'O', 'O', 'O', 'B-LOC']"
"['fake_misc_30', 'lives', 'in', 'fake_date_98']","['B-MISC', 'O', 'O', 'B-DATE']"
"['david', 'works', 'from', 'fake_per_59']","['B-PER', 'O', 'O', 'I-PER']"
"['mary', 'lives', 'in', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'studies', 'from', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_99', 'works', 'fake_org_22', 'tokyo']","['B-PROD', 'O', 'I-ORG', 'B-LOC']"
"['mary', 'works', 'fake_misc_92', 'canada']","['B-PER', 'O', 'B-MISC', 'B-LOC']"
"['fake_prod_46', 'fake_date_57', 'to', 'fake_date_15']","['B-PROD', 'B-DATE', 'O', 'I-DATE']"
"['charlie', 'lives', 'to', 'fake_loc_35', 'fake_misc_16']","['B-PER', 'O', 'O', 'B-LOC', 'I-MISC']"
"['fake_misc_49', 'fake_misc_5', 'to', 'fake_misc_71']","['I-MISC', 'I-MISC', 'O', 'I-MISC']"
"['fake_misc_43', 'fake_per_11', 'around', 'fake_prod_22']","['B-MISC', 'I-PER', 'O', 'I-PROD']"
"['jhon', 'moved', 'from', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_69', 'travels', 'fake_misc_56', 'new', 'york']","['B-ORG', 'O', 'B-MISC', 'B-LOC', 'I-LOC']"
"['david', 'fake_per_92', 'fake_loc_49', 'fake_misc_61']","['B-PER', 'B-PER', 'B-LOC', 'B-MISC']"
"['fake_prod_35', 'fake_per_34', 'fake_org_93', 'fake_org_44']","['B-PROD', 'I-PER', 'B-ORG', 'B-ORG']"
"['word_60', 'moved', 'around', 'new', 'york']","['O', 'O', 'O', 'B-LOC', 'I-LOC']"
"['sarah', 'travels', 'to', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'lives', 'fake_date_73', 'fake_prod_94']","['B-PER', 'O', 'I-DATE', 'I-PROD']"
"['fake_org_43', 'fake_loc_87', 'fake_loc_53', 'rome']","['I-ORG', 'B-LOC', 'I-LOC', 'B-LOC']"
"['fake_prod_47', 'fake_org_46', 'near', 'fake_per_89']","['B-PROD', 'B-ORG', 'O', 'B-PER']"
"['fake_org_33', 'fake_prod_53', 'fake_date_49', 'fake_loc_56', 'word_43']","['I-ORG', 'B-PROD', 'B-DATE', 'B-LOC', 'O']"
"['fake_per_23', 'fake_loc_88', 'fake_org_24', 'fake_org_27']","['B-PER', 'I-LOC', 'I-ORG', 'I-ORG']"
"['jhon', 'fake_date_47', 'word_40', 'fake_per_15', 'fake_loc_8']","['B-PER', 'I-DATE', 'O', 'I-PER', 'I-LOC']"
"['emma', 'was', 'born', 'fake_org_93', 'moscow']","['B-PER', 'O', 'O', 'I-ORG', 'B-LOC']"
"['emma', 'word_45', 'from', 'fake_org_56']","['B-PER', 'O', 'O', 'I-ORG']"
"['charlie', 'lives', 'in', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'works', 'to', 'fake_misc_26', 'york']","['B-PER', 'O', 'O', 'I-MISC', 'I-LOC']"
"['alice', 'fake_loc_33', 'around', 'fake_date_59']","['B-PER', 'I-LOC', 'O', 'B-DATE']"
"['linda', 'fake_org_86', 'fake_per_68', 'fake_date_81']","['B-PER', 'I-ORG', 'B-PER', 'I-DATE']"
"['fake_per_32', 'lives', 'fake_org_75', 'fake_misc_95']","['I-PER', 'O', 'B-ORG', 'I-MISC']"
"['sarah', 'fake_date_30', 'fake_org_83', 'paris']","['B-PER', 'I-DATE', 'B-ORG', 'B-LOC']"
"['mary', 'works', 'to', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['sarah', 'fake_date_60', 'fake_date_67', 'fake_misc_47']","['B-PER', 'I-DATE', 'B-DATE', 'I-MISC']"
"['linda', 'was', 'born', 'from', 'moscow']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_misc_62', 'fake_loc_63', 'to', 'madrid']","['I-MISC', 'I-LOC', 'O', 'B-LOC']"
"['jhon', 'works', 'from', 'new', 'fake_misc_31']","['B-PER', 'O', 'O', 'B-LOC', 'B-MISC']"
"['bob', 'was', 'born', 'in', 'london']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['alice', 'word_35', 'in', 'fake_prod_68']","['B-PER', 'O', 'O', 'I-PROD']"
"['fake_misc_25', 'fake_prod_76', 'fake_org_29', 'rome']","['I-MISC', 'B-PROD', 'I-ORG', 'B-LOC']"
"['fake_date_46', 'studies', 'fake_misc_44', 'canada']","['I-DATE', 'O', 'B-MISC', 'B-LOC']"
"['fake_date_54', 'fake_loc_14', 'word_87', 'fake_per_37']","['B-DATE', 'B-LOC', 'O', 'I-PER']"
"['charlie', 'works', 'fake_misc_49', 'fake_per_26', 'york']","['B-PER', 'O', 'I-MISC', 'I-PER', 'I-LOC']"
"['fake_per_97', 'fake_loc_73', 'near', 'fake_date_48']","['B-PER', 'I-LOC', 'O', 'B-DATE']"
"['fake_org_20', 'fake_date_55', 'to', 'paris']","['B-ORG', 'B-DATE', 'O', 'B-LOC']"
"['jhon', 'fake_org_1', 'around', 'fake_per_68']","['B-PER', 'I-ORG', 'O', 'I-PER']"
"['emma', 'studies', 'fake_prod_69', 'berlin']","['B-PER', 'O', 'I-PROD', 'B-LOC']"
"['bob', 'fake_misc_43', 'around', 'madrid']","['B-PER', 'B-MISC', 'O', 'B-LOC']"
"['mary', 'works', 'to', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'travels', 'from', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_misc_7', 'was', 'born', 'fake_prod_7', 'fake_misc_46']","['B-MISC', 'O', 'O', 'I-PROD', 'I-MISC']"
"['emma', 'studies', 'to', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['mary', 'lives', 'from', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['word_83', 'works', 'from', 'london']","['O', 'O', 'O', 'B-LOC']"
"['word_69', 'fake_per_93', 'fake_loc_8', 'rome']","['O', 'B-PER', 'B-LOC', 'B-LOC']"
"['alice', 'fake_loc_61', 'fake_per_37', 'fake_loc_77']","['B-PER', 'I-LOC', 'I-PER', 'I-LOC']"
"['fake_prod_11', 'moved', 'fake_org_5', 'rome']","['B-PROD', 'O', 'I-ORG', 'B-LOC']"
"['fake_org_45', 'word_81', 'near', 'canada']","['B-ORG', 'O', 'O', 'B-LOC']"
"['mary', 'fake_per_60', 'from', 'rome']","['B-PER', 'B-PER', 'O', 'B-LOC']"
"['linda', 'studies', 'in', 'new', 'york']","['B-PER', 'O', 'O', 'B-LOC', 'I-LOC']"
"['fake_loc_83', 'fake_prod_30', 'fake_loc_23', 'paris']","['I-LOC', 'I-PROD', 'B-LOC', 'B-LOC']"
"['mary', 'was', 'born', 'fake_loc_21', 'fake_loc_72', 'york']","['B-PER', 'O', 'O', 'I-LOC', 'I-LOC', 'I-LOC']"
"['fake_misc_84', 'lives', 'in', 'tokyo']","['I-MISC', 'O', 'O', 'B-LOC']"
"['mary', 'fake_prod_57', 'fake_org_25', 'fake_date_45']","['B-PER', 'I-PROD', 'B-ORG', 'I-DATE']"
"['fake_per_88', 'fake_date_28', 'to', 'fake_prod_12']","['B-PER', 'B-DATE', 'O', 'B-PROD']"
"['fake_prod_17', 'fake_per_77', 'around', 'fake_loc_47']","['B-PROD', 'I-PER', 'O', 'B-LOC']"
"['michael', 'fake_date_90', 'fake_per_64', 'fake_per_4']","['B-PER', 'I-DATE', 'B-PER', 'I-PER']"
"['sarah', 'was', 'born', 'fake_misc_74', 'rome']","['B-PER', 'O', 'O', 'I-MISC', 'B-LOC']"
"['fake_date_92', 'works', 'fake_loc_52', 'fake_misc_11']","['I-DATE', 'O', 'B-LOC', 'B-MISC']"
"['jhon', 'was', 'born', 'to', 'fake_org_66', 'york']","['B-PER', 'O', 'O', 'O', 'B-ORG', 'I-LOC']"
"['michael', 'lives', 'around', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'travels', 'to', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['bob', 'fake_loc_95', 'from', 'fake_date_17']","['B-PER', 'I-LOC', 'O', 'B-DATE']"
"['fake_misc_69', 'travels', 'fake_date_63', 'madrid']","['B-MISC', 'O', 'B-DATE', 'B-LOC']"
"['fake_per_40', 'fake_date_2', 'in', 'berlin']","['I-PER', 'I-DATE', 'O', 'B-LOC']"
"['charlie', 'fake_prod_24', 'fake_date_34', 'fake_misc_46']","['B-PER', 'B-PROD', 'I-DATE', 'I-MISC']"
"['sarah', 'studies', 'from', 'fake_org_18']","['B-PER', 'O', 'O', 'I-ORG']"
"['michael', 'fake_loc_63', 'fake_loc_62', 'tokyo']","['B-PER', 'B-LOC', 'B-LOC', 'B-LOC']"
"['charlie', 'studies', 'fake_prod_100', 'fake_loc_69']","['B-PER', 'O', 'I-PROD', 'B-LOC']"
"['fake_date_95', 'fake_loc_63', 'fake_prod_80', 'fake_misc_87']","['I-DATE', 'I-LOC', 'I-PROD', 'B-MISC']"
"['linda', 'works', 'fake_misc_34', 'new', 'fake_org_33']","['B-PER', 'O', 'B-MISC', 'B-LOC', 'B-ORG']"
"['fake_prod_52', 'studies', 'to', 'word_33']","['B-PROD', 'O', 'O', 'O']"
"['alice', 'fake_org_2', 'near', 'fake_date_84']","['B-PER', 'B-ORG', 'O', 'I-DATE']"
"['emma', 'fake_misc_25', 'near', 'tokyo']","['B-PER', 'I-MISC', 'O', 'B-LOC']"
"['michael', 'works', 'fake_per_80', 'madrid']","['B-PER', 'O', 'B-PER', 'B-LOC']"
"['fake_org_43', 'lives', 'to', 'madrid']","['B-ORG', 'O', 'O', 'B-LOC']"
"['david', 'works', 'from', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_loc_54', 'fake_org_42', 'near', 'beijing']","['I-LOC', 'B-ORG', 'O', 'B-LOC']"
"['fake_date_13', 'fake_prod_49', 'fake_org_42', 'fake_per_70', 'york']","['B-DATE', 'I-PROD', 'I-ORG', 'B-PER', 'I-LOC']"
"['fake_per_69', 'fake_prod_70', 'fake_loc_61', 'fake_loc_36']","['I-PER', 'I-PROD', 'I-LOC', 'B-LOC']"
"['fake_loc_81', 'fake_loc_15', 'around', 'fake_per_92']","['I-LOC', 'I-LOC', 'O', 'B-PER']"
"['emma', 'travels', 'near', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'travels', 'near', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
